station,xCor,yCor
구로디지털단지,428.56005859375,349.451056532998
동대문역사문화공원,755.0908203125,643.305548720498
기흥,924.7822265625,156.698126845498
병점,789.943359375,115.660040907998
수원,769.3935546875,144.079962782998
금정,669.52734375,172.580939345498
오이도,408.59130859375,139.754767470498
온수,212.38720703125,378.608283095498
오금,1117.255859375,411.843634657998
회룡,810.103515625,1209.6649237205
도봉산,854.8466796875,1109.732306533
노원,928.240234375,993.292853407998
불광,531.30908203125,822.130744032998
삼각지,656.26171875,533.142462782998
용산,612.05322265625,529.728400282998
이촌,659.3076171875,476.688361220498
충정로,620.00439453125,626.255744032998
시청,648.068359375,637.881720595498
서울역,664.4169921875,611.650275282998
충무로,708.0341796875,629.838751845498
종로3가,691.2724609375,684.011603407998
대곡,408.77490234375,962.517462782998
연신내,514.23779296875,856.876837782998
디지털미디어시티,457.44970703125,692.224494032998
공덕,595.90966796875,577.134650282998
강동,1133.2822265625,546.489142470498
천호,1107.8857421875,556.472540907998
가락시장,1093.359375,374.379767470498
성수,897.8935546875,579.434454970498
정자,1044.1064453125,156.654181532998
모란,1085.37109375,225.115119032998
복정,1087.0146484375,296.271369032998
수서,1039.2666015625,353.068244032998
도곡,901.7587890625,377.306525282998
양재,845.845703125,342.566290907998
옥수,795.6767578125,559.319220595498
약수,774.5107421875,621.585822157998
청구,781.7314453125,638.499884657998
신당,784.333984375,659.812384657998
동묘앞,784.333984375,680.355353407998
광운대,908.5263671875,862.400275282998
석계,921.9013671875,833.216681532998
태릉입구,966.203125,835.814337782998
창동,885.83984375,977.682501845498
동대문,758.2802734375,680.355353407998
신설동,803.66796875,692.960822157998
청량리,869.40625,705.375861220498
회기,897.8134765625,733.784064345498
망우,1015.82421875,770.076056532998
상봉,999.2861328125,764.762579970498
군자,983.4765625,629.793829970498
강남구청,865.171875,467.855353407998
신길,482.79931640625,467.265509657998
여의도,510.46337890625,491.818244032998
노량진,545.67724609375,450.665900282998
동작,662.7724609375,404.958869032998
고속터미널,717.3984375,433.235236220498
총신대입구(이수),689.5107421875,346.783087782998
을지로4가,723.7314453125,659.397345595498
을지로3가,702.4716796875,645.726447157998
잠실,1042.34375,454.874884657998
왕십리,843.318359375,645.724494032998
건대입구,952.8798828125,556.155158095498
선릉,882.4580078125,426.130744032998
강남,821.6708984375,400.951056532998
교대,775.1728515625,381.691290907998
사당,689.515625,325.802619032998
신도림,421.25439453125,443.451056532998
계양,74.47021484375,703.408087782998
원인재,201.79833984375,199.843634657998
부평,120.38916015625,390.115119032998
부평구청,90.12744140625,431.161017470498
김포공항,146.21142578125,635.084845595498
까치산,284.48291015625,531.436408095498
구로,377.44482421875,422.289923720498
금천구청,438.00341796875,240.001837782998
가산디지털단지,396.75341796875,344.011603407998
대림,422.17431640625,368.880744032998
영등포구청,419.79443359375,508.729376845498
당산,445.36181640625,550.335822157998
합정,489.95166015625,594.564337782998
홍대입구,507.52880859375,614.648322157998
압구정로데오,857.2919921875,511.253790907998
석수,458.27685546875,188.899298720498
광명,412.70068359375,215.837775282998
서울숲,845.7763671875,570.412970595498
작전,77.08935546875,496.628790907998
신정네거리,258.78955078125,484.039923720498
일원,989.015625,349.261603407998
